AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"An AP, or action potential, is a rapid electrical signal that travels along neurons.","During the experiment, the researcher measured the frequency of APs generated by the neurons in response to stimuli.",,,250928A036,「before a」
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,"Propagation is the act of transmitting something, such as a wave or a signal, through a medium.",The propagation of sound waves through the air is essential for communication.,,,250928A036,「before a」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,生物,,Myelination is the process by which a myelin sheath forms around a nerve fiber.,The speed of nerve impulse conduction increases significantly with myelination.,,,250928A036,「before a」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˌsæl.təˌtɔːr.i ˌkənˈdʌk.ʃən/,P.,,,Saltatory conduction refers to the process by which nerve impulses are rapidly transmitted along myelinated axons.,"In the nervous system, saltatory conduction significantly increases the speed at which signals travel between neurons.",saltatory conduction,jumping_transmission,250928A036,「before a」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːˌmaɪəˈleɪnˈeɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,"Demyelinating disorders are conditions that damage the protective covering of nerves, known as myelin.",Multiple sclerosis is one of the most common demyelinating disorders diagnosed in adults.,,,250928A036,「before a」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.troʊˈkɛm.ɪ.kəl ˈɡreɪ.dɪnts/,P.,生物,,Lectrochemical gradients refer to the differences in electric and chemical concentrations across a membrane.,"In cellular biology, lectrochemical gradients are essential for processes like nerve impulse transmission.",lectro chemical gradient,electric chemical_difference,250928A036,「before a」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the displacement of ions in a medium.,The ionic movement in the electrolyte allows the battery to function effectively.,ionic movement,displacement_of_ions,250928A036,「before a」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case is one that requires little thought or effort to solve.,"In this study, we found that even a trivial case could lead to significant discussions about the broader implications of the findings.",trivial case,simple_instance,250928A036,「before a」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,The membrane potential refers to the voltage difference across a cell's membrane.,Researchers measured the membrane potential of the neurons to understand their activity.,,,250928A036,「before a」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪtiˌpeɪˌeɪs/,n.,生物,,Atpase is an enzyme that catalyzes the hydrolysis of ATP into ADP and phosphate.,The study of Atpase activity is crucial for understanding cellular energy metabolism.,,,250928A036,「before a」
